iter	Passed	Remaining
0	228	228105
1	255	127264
2	291	96724
3	337	83925
4	383	76260
5	423	70139
6	450	63900
7	486	60297
8	520	57362
9	545	54026
10	589	53043
11	643	52978
12	688	52242
13	735	51770
14	776	51012
15	814	50073
16	836	48347
17	878	47919
18	911	47064
19	938	46010
20	964	44971
21	998	44402
22	1036	44041
23	1074	43688
24	1109	43253
25	1145	42897
26	1173	42275
27	1205	41858
28	1238	41473
29	1288	41667
30	1331	41627
31	1382	41824
32	1420	41634
33	1470	41771
34	1520	41917
35	1549	41502
36	1601	41680
37	1652	41835
38	1707	42084
39	1865	44774
40	1954	45705
41	1998	45589
42	2053	45695
43	2107	45786
44	2298	48771
45	2401	49802
46	2451	49712
47	2512	49822
48	2558	49652
49	2597	49360
50	2648	49281
51	2681	48879
52	2726	48712
53	2795	48976
54	2853	49030
55	2901	48911
56	2957	48932
57	2997	48691
58	3043	48545
59	3097	48521
60	3133	48231
61	3181	48138
62	3229	48033
63	3279	47961
64	3329	47888
65	3383	47880
66	3438	47886
67	3474	47622
68	3520	47503
69	3573	47471
70	3648	47739
71	3699	47682
72	3743	47537
73	3797	47521
74	3853	47522
75	3936	47854
76	4026	48271
77	4074	48165
78	4144	48320
79	4221	48544
80	4263	48368
81	4319	48356
82	4379	48389
83	4434	48359
84	4492	48361
85	4546	48322
86	4641	48711
87	4703	48744
88	4796	49099
89	4862	49170
90	4937	49318
91	5000	49355
92	5051	49261
93	5107	49225
94	5164	49202
95	5232	49274
96	5295	49296
97	5360	49343
98	5418	49317
99	5471	49247
100	5519	49127
101	5575	49089
102	5633	49058
103	5684	48971
104	5735	48889
105	5782	48769
106	5839	48735
107	5902	48749
108	5954	48672
109	5998	48531
110	6042	48391
111	6244	49511
112	6310	49532
113	6357	49407
114	6398	49241
115	6440	49080
116	6519	49203
117	6587	49236
118	6687	49510
119	6736	49404
120	6779	49252
121	6820	49087
122	6869	48976
123	6921	48895
124	6970	48791
125	7037	48813
126	7127	48996
127	7230	49260
128	7307	49338
129	7440	49795
130	7557	50132
131	7675	50472
132	7738	50446
133	7787	50327
134	7824	50134
135	7866	49976
136	7903	49783
137	7939	49594
138	7985	49462
139	8029	49323
140	8069	49159
141	8113	49026
142	8157	48890
143	8200	48749
144	8240	48589
145	8277	48420
146	8312	48235
147	8350	48073
148	8393	47938
149	8430	47770
150	8474	47648
151	8510	47481
152	8546	47313
153	8591	47198
154	8651	47164
155	8708	47117
156	8752	46996
157	8788	46833
158	8826	46685
159	8868	46558
160	8915	46462
161	8957	46333
162	8997	46200
163	9035	46057
164	9070	45902
165	9117	45805
166	9167	45728
167	9214	45634
168	9258	45526
169	9294	45379
170	9329	45229
171	9379	45150
172	9420	45031
173	9458	44899
174	9507	44821
175	9554	44731
176	9597	44623
177	9669	44651
178	9718	44575
179	9758	44457
180	9798	44335
181	9835	44204
182	9874	44086
183	9919	43991
184	9965	43901
185	10013	43821
186	10060	43737
187	10114	43686
188	10175	43663
189	10223	43583
190	10264	43476
191	10311	43394
192	10355	43300
193	10393	43180
194	10441	43104
195	10574	43378
196	10624	43306
197	10659	43175
198	10692	43039
199	10727	42911
200	10774	42829
201	10822	42753
202	10868	42669
203	10911	42577
204	10951	42469
205	10988	42352
206	11030	42258
207	11069	42150
208	11110	42049
209	11150	41947
210	11191	41849
211	11235	41761
212	11291	41721
213	11356	41710
214	11402	41632
215	11446	41544
216	11486	41446
217	11521	41327
218	11561	41230
219	11605	41148
220	11651	41068
221	11691	40972
222	11727	40861
223	11767	40766
224	11805	40662
225	11849	40582
226	11898	40517
227	11940	40430
228	11978	40327
229	12015	40226
230	12055	40132
231	12097	40045
232	12136	39950
233	12180	39872
234	12218	39775
235	12257	39681
236	12296	39587
237	12340	39511
238	12382	39425
239	12431	39365
240	12467	39264
241	12505	39168
242	12544	39077
243	12579	38977
244	12626	38909
245	12673	38844
246	12734	38822
247	12769	38721
248	12806	38625
249	12850	38550
250	12894	38477
251	12939	38407
252	12972	38301
253	13006	38200
254	13045	38113
255	13084	38025
256	13128	37953
257	13164	37860
258	13203	37774
259	13246	37702
260	13284	37613
261	13324	37532
262	13372	37473
263	13421	37417
264	13470	37360
265	13503	37262
266	13540	37172
267	13576	37082
268	13619	37011
269	13658	36928
270	13704	36866
271	13756	36818
272	13816	36794
273	13870	36752
274	13920	36699
275	13964	36631
276	14007	36561
277	14045	36477
278	14082	36391
279	14127	36328
280	14167	36251
281	14209	36177
282	14245	36090
283	14286	36017
284	14327	35943
285	14367	35868
286	14416	35815
287	14465	35761
288	14513	35705
289	14555	35635
290	14590	35548
291	14630	35473
292	14670	35399
293	14708	35319
294	14744	35236
295	14783	35161
296	14831	35105
297	14871	35033
298	14920	34980
299	14966	34922
300	15013	34865
301	15056	34799
302	15096	34727
303	15146	34677
304	15196	34628
305	15241	34567
306	15283	34500
307	15333	34450
308	15381	34396
309	15439	34366
310	15496	34331
311	15549	34288
312	15595	34229
313	15646	34183
314	15693	34127
315	15743	34078
316	15785	34011
317	15822	33933
318	15866	33872
319	15917	33823
320	15966	33773
321	16010	33712
322	16057	33656
323	16101	33594
324	16145	33532
325	16184	33461
326	16225	33394
327	16270	33333
328	16307	33259
329	16344	33184
330	16383	33114
331	16424	33046
332	16469	32989
333	16514	32929
334	16557	32868
335	16593	32792
336	16634	32726
337	16672	32654
338	16713	32588
339	16751	32517
340	16789	32446
341	16824	32369
342	16863	32302
343	16903	32235
344	16953	32186
345	17001	32136
346	17048	32082
347	17084	32008
348	17122	31939
349	17166	31881
350	17213	31827
351	17249	31754
352	17285	31681
353	17319	31605
354	17358	31539
355	17396	31470
356	17434	31402
357	17481	31350
358	17527	31294
359	17572	31239
360	17610	31171
361	17645	31098
362	17681	31027
363	17720	30961
364	17757	30893
365	17794	30824
366	17855	30796
367	17889	30724
368	17931	30663
369	17971	30599
370	18017	30548
371	18067	30500
372	18111	30445
373	18150	30380
374	18192	30320
375	18232	30258
376	18269	30191
377	18312	30133
378	18346	30061
379	18383	29994
380	18426	29937
381	18461	29867
382	18509	29818
383	18558	29771
384	18608	29725
385	18644	29657
386	18726	29662
387	18779	29621
388	18852	29611
389	18891	29547
390	19057	29682
391	19141	29688
392	19194	29646
393	19229	29576
394	19269	29513
395	19306	29447
396	19344	29381
397	19382	29317
398	19419	29251
399	19456	29184
400	19494	29119
401	19531	29054
402	19567	28986
403	19623	28948
404	19664	28890
405	19709	28835
406	19756	28784
407	19800	28729
408	19843	28674
409	19876	28603
410	19917	28544
411	19953	28477
412	19990	28412
413	20031	28354
414	20066	28286
415	20111	28233
416	20148	28169
417	20187	28107
418	20234	28057
419	20279	28005
420	20326	27955
421	20365	27894
422	20406	27836
423	20447	27778
424	20482	27711
425	20514	27642
